config,kappa,com_ratio,mu,rank,freq,hip_phi,leg_amp,hip_amp,hip_off,survived,net_fwd_speed,n_samples,e_pos_J,e_abs_J,d_fwd_m,cot_pos,single_frac_t,double_frac_t,air_frac_t,roll_mean_deg,roll_rms_deg,pitch_mean_deg,pitch_rms_deg,yaw_mean_deg,yaw_rms_deg,com_x_rms_mm,com_y_rms_mm,com_z_mean_mm,com_z_rms_mm,r_roll_com_x,r_roll_com_y,r_roll_com_z,r_roll_pitch,r_roll_yaw
c1,0.0,1.05,0.3,13,1.91,270.0,125.0,28.0,30.0,1,0.2442,1445,133.707,199.576,3.1742,1.89,0.5522,0.3716,0.0761,-0.092,10.847,-4.593,9.966,5.35,12.289,9.71,7.31,99.61,99.69,-0.9463,-0.5165,-0.1971,-0.2398,0.0478
c1,0.0,1.05,0.3,14,1.89,270.0,125.0,28.0,30.0,1,0.2419,1445,131.542,194.569,3.1448,1.876,0.546,0.3855,0.0685,0.076,10.903,-4.755,10.078,4.733,12.179,9.75,7.33,99.62,99.7,-0.9478,-0.5159,-0.2071,-0.2401,0.0484
c1,0.0,1.05,0.3,15,1.93,270.0,125.0,28.0,30.0,1,0.2442,1445,137.459,205.461,3.1748,1.942,0.5419,0.3723,0.0858,-0.027,10.848,-4.664,9.902,5.193,12.03,9.72,7.32,99.61,99.7,-0.9459,-0.5422,-0.1886,-0.2353,0.0522
c1,0.0,1.05,0.3,16,1.76,280.0,115.0,28.0,20.0,1,0.2188,1445,90.992,125.452,2.8445,1.435,0.501,0.445,0.054,0.161,10.815,-3.41,9.78,3.706,13.963,11.08,2.68,102.37,102.44,-0.9704,-0.3909,-0.2076,-0.4419,-0.1468
c1,0.0,1.05,0.3,17,1.88,280.0,115.0,28.0,20.0,1,0.2245,1445,105.518,149.084,2.9181,1.622,0.519,0.4048,0.0761,0.217,10.798,-3.68,9.484,4.148,13.013,11.11,2.5,102.36,102.43,-0.9681,-0.5616,-0.2081,-0.4325,-0.086
c1,0.0,1.05,0.3,18,1.88,270.0,125.0,28.0,30.0,1,0.2415,1445,129.777,191.557,3.1391,1.855,0.5405,0.3813,0.0782,0.223,10.885,-4.708,10.104,5.129,12.483,9.71,7.27,99.59,99.68,-0.9477,-0.4908,-0.1976,-0.2497,0.0405
c1,0.0,1.05,0.3,19,1.9,270.0,125.0,28.0,30.0,1,0.2414,1445,133.091,197.204,3.1382,1.902,0.5433,0.3737,0.083,-0.068,10.902,-4.678,10.025,4.74,12.127,9.73,7.33,99.59,99.67,-0.9469,-0.5285,-0.2006,-0.2413,0.0424
c1,0.0,1.05,0.3,20,1.86,270.0,125.0,28.0,30.0,1,0.2405,1445,125.814,185.873,3.1269,1.805,0.5294,0.3958,0.0747,0.148,10.874,-4.535,10.089,5.276,12.726,9.71,7.27,99.64,99.73,-0.9484,-0.4654,-0.1928,-0.2486,0.0405
c1,0.0,1.05,0.5,1,1.95,0.0,125.0,28.0,20.0,1,0.325,1445,157.943,219.253,4.2254,1.677,0.7017,0.0007,0.2976,0.274,17.377,-6.701,10.586,-0.559,8.906,17.18,7.3,102.27,102.31,-0.9776,-0.2862,-0.0346,-0.7586,-0.5322
c1,0.0,1.05,0.5,2,1.93,0.0,125.0,28.0,20.0,1,0.3383,1445,153.103,212.176,4.3975,1.562,0.708,0.0021,0.29,0.571,17.559,-7.007,10.833,-1.656,6.038,17.35,7.27,102.22,102.25,-0.9772,-0.2725,-0.0656,-0.7892,-0.8153
